Supplementary Data 1. Growth inhibition data against A. baumannii for model training,,,,
SMILES,Name,Rep 1,Rep 2,Mean
C=CC(C1=CC(=O)C(OC)=CC1=O)c1ccc(O)cc1, 4-METHOXY-4'-HYDROXY-DALBERGIONE,1.0415,1.1245,1.083
C=C1CC/C=C(/C)CC[C@@H]2[C@@H]1CC2(C)C.O,(-)E-CARYOPHYLLENE hydrate,0.84605,1.0282,0.937125
CCCCCCCCCCCCCCCC(=O)OCC(O)CO,1-MONOPALMITIN,1.0894,1.247,1.1682
CC1(C)C(=O)[C@@H]2O[C@@H]2[C@@]2(C)C1C[C@@H](O)[C@]1(C)C2CC[C@@]2(C)[C@H](c3ccoc3)OC(=O)C3OC321,"1,2alpha-EPOXYDEACETOXYDIHYDROGEDUNIN",1.1681,1.1717,1.1699
CC1(C)C2CC(=O)[C@]3(C)C(CC[C@@]4(C)[C@H](c5ccoc5)OC(=O)C5OC543)[C@@]2(C)[C@@H](O)C[C@H]1O,"1,3-DIDEACETYL-7-DEACETOXY-7-OXOKHIVORIN",1.1953,1.2281,1.2117
CC1(C)C2CC(=O)[C@]3(C)C(CC[C@@]4(C)[C@H](c5ccoc5)OC(=O)[C@H]5O[C@]543)[C@@]2(C)C(=O)C[C@H]1O,"1,7-DIDEACETOXY-1,7-DIOXO-3-DEACETYLKHIVORIN",0.96196,0.90409,0.933025
CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3cc(O)ccc3nc2-1,10-HYDROXYCAMPTOTHECIN,1.1802,0.97645,1.078325
CC(=O)OC1CC[C@@]2(C)C(CC[C@]3(C)C2C2OC2[C@]24OC(=O)[C@@]5(CCC(C)C(C)C52)CC[C@]43C)C1(C)C,11(12)-EPOXY-URSOLOLACTONE ACETATE,1.0645,1.0832,1.07385
CC(=O)[C@@]12O[C@]1(C)CC1C3CC=C4C[C@@H](O)CC[C@]4(C)C3CC[C@@]12C,16beta-METHYL-16(17)-EPOXY-5-PREGNENOLONE,0.88329,1.2307,1.056995
C[C@@H](N)[C@@H](O)c1ccccc1.Cl,"1S,2R-PHENYLPROPANOLAMINE HYDROCHLORIDE",1.1119,1.0247,1.0683
CC(=O)c1ccc[nH]1,2-ACETYLPYRROLE,0.99141,0.91784,0.954625
CC1=CC2C(CC1=O)C2(C)C,2-CARENE-3-ONE,1.0287,0.95938,0.99404
COc1ccc(C(=O)O)c(O)c1OC,"2-HYDROXY-3,4-DIMETHOXYBENZOIC ACID",1.0966,1.3274,1.212
CC1(C)CC2C1CCC1(C)OC1CCC2(C)O,2-HYDROXY-5 (6)EPOXY-TETRAHYDROCARYOPHYLLENE,0.93811,1.1551,1.046605
O=c1c2ccccc2oc2ccc(O)cc12,2-HYDROXYXANTHONE,1.0162,1.1756,1.0959
COc1cc2c(cc1C=O)OCO2,"2-METHOXY-4,5-METHYLENEDIOXYBENZALDEHYDE",0.97578,0.97047,0.973125
COc1c(O)cccc1O,2-METHOXYRESORCINOL,1.0627,0.94618,1.00444
Oc1ccnc(S)n1,2-THIOURACIL,0.99259,0.99591,0.99425
O=[N+]([O-])c1ccc(O)c([N+](=O)[O-])c1,"2,4-DINITROPHENOL",0.71714,0.69101,0.704075
O=C(O[C@@H]1Cc2c(O)cc(O)cc2O[C@@H]1c1cc(O)c(O)c(O)c1-c1c([C@H]2Oc3cc(O)cc(O)c3C[C@H]2OC(=O)c2cc(O)c(O)c(O)c2)cc(O)c(O)c1O)c1cc(O)c(O)c(O)c1,"2',2'-BISEPIGALLOCATECHIN DIGALLATE",1.112,0.9095,1.01075
O=C(/C=C/c1ccc(O)cc1)c1ccccc1O,"2',4-DIHYDROXYCHALCONE",0.88214,0.83519,0.858665
COc1ccc(/C=C/C(=O)c2ccc(O)cc2O)cc1,"2',4'-DIHYDROXY-4-METHOXYCHALCONE",1.0343,1.0423,1.0383
O=C(/C=C/c1ccccc1)c1ccc(O)cc1O,"2',4'-DIHYDROXYCHALCONE",0.84379,0.92657,0.88518
O=C(/C=C/c1ccccc1)c1ccc(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc1O,"2',4'-DIHYDROXYCHALCONE 4'-GLUCOSIDE",1.0181,0.96584,0.99197
COc1ccc(/C=C/C(=O)c2cc(O)ccc2O)cc1,"2',5'-DIHYDROXY-4-METHOXYCHALCONE",1.0456,1.0832,1.0644
N#CCCN.O=C(O)/C=C/C(=O)O,3-AMINOPROPIONITRILE FUMARATE,0.95253,0.91986,0.936195
